LocationID,Date,Observer,Species,Count,Link
L3949628,2019-7-16,Peter Bijlmakers,Swinhoe's White-eye,-1,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Rufous-capped Babbler,5,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Taiwan Scimitar-Babbler,3,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Common Myna,3,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Javan Myna,10,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Oriental Magpie-Robin,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Chestnut Munia,2,/view/checklist/S58219412
L3949628,2019-7-16,Peter Bijlmakers,Eurasian Tree Sparrow,-1,/view/checklist/S58219412
L3949628,2019-7-7,Kevin Chao,Common Greenshank,1,/view/checklist/S57989927
L3949628,2019-7-7,Kevin Chao,Black Kite,1,/view/checklist/S57989927
L3949628,2019-6-9,Sung Ming Chen,Oriental Turtle-Dove,3,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,White-breasted Waterhen,4,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Yellow Bittern,1,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Little Egret,11,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Cattle Egret,15,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Black-crowned Night-Heron,6,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,African Sacred Ibis,20,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Crested Goshawk,2,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Black-naped Monarch,2,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Plain Prinia,1,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Light-vented Bulbul,8,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Black Bulbul,3,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Vinous-throated Parrotbill,6,/view/checklist/S57217655
L3949628,2019-6-9,Sung Ming Chen,Swinhoe's White-eye,9,/view/checklist/S57217655
L2329696,2019-9-13,Mark Stevenson,Oriental Turtle-Dove,7,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Red Collared-Dove,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Eurasian Moorhen,3,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Eurasian Coot,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Black-winged Stilt,6,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Pacific Golden-Plover,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Little Ringed Plover,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Gray Heron,8,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Great Egret,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Intermediate Egret,3,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Great/Intermediate Egret,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Chinese Egret,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Cattle Egret,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,white egret sp.,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Black-crowned Night-Heron,9,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,African Sacred Ibis,35,/view/checklist/S59725288
